ID,Longitude,Latitude,Label,Description,Type,Floor
578,-79.24648372,43.12005271,,,T,2
579,-79.24648042,43.11986424,,,T,2
580,-79.24631256,43.11984494,,,T,2
581,-79.24662734,43.11987201,,,T,2
582,-79.246468,43.1193555,,,T,2
583,-79.24646753,43.11932684,,,T,2
584,-79.24654873,43.11926718,,,T,2
585,-79.24830083,43.11984639,,,T,2
586,-79.24833444,43.1198512,A201,,R,2
587,-79.24835066,43.11985206,A200,,R,2
588,-79.24835019,43.11984279,A203,,R,2
589,-79.24831352,43.11969832,A204,,R,2
590,-79.24843458,43.11962076,A247,,R,2
591,-79.24843482,43.11960824,A246,,R,2
592,-79.24843294,43.11960206,A245,,R,2
593,-79.24841013,43.11960292,A244,,R,2
594,-79.24837299,43.11960446,A242,,R,2
595,-79.24833092,43.11966846,A206,,R,2
596,-79.24822114,43.11961081,A207,,R,2
597,-79.24820469,43.11959794,A208,,R,2
598,-79.24818282,43.11958181,A210,,R,2
599,-79.24815485,43.11956174,A211,,R,2
600,-79.24815626,43.11955196,A223,,R,2
601,-79.24817742,43.11956243,A212,,R,2
602,-79.24821644,43.11958971,A209,,R,2
603,-79.24826745,43.11957478,A241,,R,2
604,-79.24826322,43.1195535,A240,,R,2
605,-79.24823195,43.11953154,A239,,R,2
606,-79.24821174,43.11951696,A238,,R,2
607,-79.24806294,43.11949173,A222,,R,2
608,-79.24807587,43.11944884,A224,,R,2
609,-79.24810337,43.11943803,A225,,R,2
610,-79.2480761,43.11941915,A226,,R,2
611,-79.24805072,43.11939891,A227,,R,2
612,-79.2480211,43.1193802,A229,,R,2
613,-79.24804601,43.11932667,A218,,R,2
614,-79.2479273,43.11935086,A231,,R,2
615,-79.24791861,43.11934246,A232,,R,2
616,-79.24790685,43.11936957,A223,,R,2
617,-79.24790779,43.11938106,A234,,R,2
618,-79.24792307,43.11940663,A235,,R,2
619,-79.24801992,43.11940457,A230,,R,2
620,-79.24803073,43.11941332,A228,,R,2
621,-79.24800323,43.11947132,A220,,R,2
622,-79.24759844,43.11932633,B228,,R,2
623,-79.24732929,43.11932684,B214,,R,2
624,-79.24742003,43.11940955,B203,,R,2
625,-79.24765369,43.11934125,B230,,R,2
626,-79.24762853,43.11932015,B229,,R,2
627,-79.24761796,43.11931243,B227,,R,2
628,-79.24759233,43.11930059,B226,,R,2
629,-79.24753239,43.11922458,B223,,R,2
630,-79.24752322,43.11921634,B222,,R,2
631,-79.24752698,43.11920588,B222A,,R,2
632,-79.2475291,43.11926421,B224,,R,2
633,-79.24741086,43.11926318,B220,,R,2
634,-79.24743296,43.11926559,B219,,R,2
635,-79.24739159,43.11922372,B221,,R,2
636,-79.24739652,43.11920622,B222B,,R,2
637,-79.24737349,43.11926473,B217,,R,2
638,-79.24734011,43.1193011,B216,,R,2
639,-79.24732106,43.11930333,B215,,R,2
640,-79.24728345,43.11933302,B213,,R,2
641,-79.24727217,43.11934091,B212,,R,2
642,-79.24731754,43.11934863,B211,,R,2
